date,type,status,body
01/21/2025,Customer Service Issues,UnansweredMore info,"In December 2024 we were informed by the facility that the *** was making changes to the ridiculous rates that Securus was charging for phone calls and video visits. Prisoners were only granted 4 free visits a month. In the last few days we received emails saying we could go back to paying for visits. Because their systems were down I canceled a visit and spoke to Securus who advised me that I would need to email a refund request form. I was NOT advised that it was going to take 30 days for my credits to be rectified. (Before switching to the new platform they owed me 4 video visits, which took over 4 weeks to get reissued to my credit cards.) Employees will rarely connect you to the correct department or have an actual policy (it literally depends on what employee you speak to.) When speaking to the supervisor all he could say was there was no one he directly contacts regarding this matter except administration, but will not give the number to any superiors. He says that there are no phone numbers for anyone higher up in the company and that I would need to wait 30 days to get the credit even though they acknowledge that their company was at fault. This is not the first time they have withheld my money due to their own mistakes and because the *** has gotten involved Securus' business practices have gotten much worse. Forget regular customer **********************, they are trained to read a piece of paper and not take any accountability for their business practices."
01/19/2025,Billing Issues,UnansweredMore info,The complaint is they are taking money for a service that is not being provided due to their equipment not working and cant get it resolved on the customer end.
01/12/2025,Product Issues,UnansweredMore info,I bought 1250 credits for thr chat which charged me. It did not give me the credits. The online assistant doesn't do anything helpful or lead me to anyway to fix this. Calling customer support doesn't do anything because it's not possible to get someone actually on the phone and has limited options on what you can choose.  If you press 0 like most companies have  it will send you to a *** but with this company it just tells you it's going to hang up and vall them back. Also if inmates miss visitation that you have to pay for you dont get a refund this has happened to me 2 times. And it claims the only way to get a refund is to permanently delete your account which makes no sense.
01/12/2025,Product Issues,UnansweredMore info,I'm mistakenly gave them $10 yesterday because I thought they ran the phone for ************** jail in ********** ***** found out they didn't immediately call them tell them I need to do close that account and refund my money they tell me they did they haven't even begun a refund they close the account but they didn't actually close it they want me to keep opening it never turn my call and they will not let me talk to him about getting a refund they won't even let me talk to him at all It's all automated they will not answer the phone The phone I got them yesterday because I don't know how I did it but they tell me they would refund the money immediately I don't worry it may take 10 to 12 days but they're not even refunding it since the 10 to 12 days is not even begun and it shouldn't take 10 to 12 days when I immediately called you back I've gave him the money on a prepaid card it shouldn't be can be in median and I'm tired of dealing with security technologies I've done it when he's been in ****** ***** in jail and when he was into prison and is ridiculous and it's bad enough to have your husband in jail much less to have to deal with incompetent people who will not refund the money immediately I mean it's $10 it's not going to go broke and stealing people's $10 one $10 at a time and cut my ads up to a lot of money for people and it's ridiculous because you're taking advantage of people who are out here struggling because their husbands are their wives or their kids or their you know I don't know their kids are there friends or whoever or is in jail somebody's in jail and it's hard on the people out here give me my money back and stop playing games with me I want them to apologize to me I want them to send me in writing that they made the mistake and I want to just blank it easier to talk to him That's ridiculous I can't even talk to him I want my refund and I want it now
01/06/2025,Service or Repair Issues,ResolvedMore info,They owe me money I put on a account to talk to my gr son in wahoo Nebraska in jail I closed my account over a month ago & get no response from them at all
12/28/2024,Product Issues,ResolvedMore info,"Hello,Over the weekend I learned of your recent merge as a result of being redirected from my JPay account to ********************** which are both child accounts of your parent company ***************.  I was scammed by this company and told I could not get my money back. My **** account indicated I could no longer utilize the app to stay in contact with my loved ones and Id need to establish a new account via **********************. I followed the directions on the website and opened a Securus account which was successfully merged the **** app as instructed. I was told in order to access my available funds (stamps) that were previously purchased under my **** account this was a requirement.After successfully merging the accounts, I noticed the funds did not transfer. I called in on 12/27 and the representative was able to move the funds from **** to Securus for me. Upon confirming the transfer and seeing the stamps now available on the newly created Securus account, I deleted the **** account as I saw no use for it any longer since Im redirected to Securus when trying to access JPay directly. I also did not receive any warning or direction from the Securus representative that closing the **** account would remove my funds once again.When I noticed the stamps were removed after closing the **** account, I called into Securus for assistance. I was met with sarcasm and unprofessionalism from the call center. **** whom claimed to be a supervisor blatantly told me he just doesnt know the answers to my concerns and Im at a loss of my funds although he confirmed he did see the balance on his ****** led to believe this is an act of false leading and/ or a case of bait and switch. I cant understand why a customer would need to keep an account active if said customer can no longer use it and the funds were successfully transferred?"
12/23/2024,Product Issues,UnansweredMore info,On November 18th of 2024 I was informed that my bank disputed charges and in order to speak to my love one I must money gram those disputed charges. On November 19th and 21st of 2024 I spent $500 through money gram to fix this. On December 19th of 2024 my bank informed me that they did pay those charges and took $500 out of my account again. ********************** was paid twice and refuses to reimburse me. They still have my account blocked and I can't speak to my loved ones.
12/20/2024,Product Issues,UnansweredMore info,Since september 2024 I have had difficulty trying to get a tablet repaired for my husband who is incarcerated. He cannot send out messages or use the calling feature or even see a movie on the tablet. He is really depressed over this and has followed the chain of command to get assistance with his tablet but they keep turning him away standing THEY HAVE NOTHING TO DO WITH THE TABLET TO REACH OUT TO THE COMPANY. He has submitted several tickets himself from the kiosk in the facility which have all gone unanswered. I transferred stamps to him that he never received and I reached out to secureus and they did not help at all. They have absolutely no care or concern for the inmates or the families of these incarcerated individuals. I have also contacted new York state department of correction and community supervision who have also referred me to the company as well. My husbands name is ***** M **** DIN 11A4042 and is housed at sing sing correctional facility.
12/12/2024,Service or Repair Issues,UnansweredMore info,"As a founder of a nonprofit for incarcerated persons I need to communicate with those behind the walls. I opened a securus account and it was closed due to my # being a ****** voice #. I rectified the situation and have a T-Mobile phone #. I need this # unblocked. I sent securus documentation proof of this no longer being ****** voice in October and was told it could take up to 30 days to *********'s well passed 30 days, I contacted securus and was told the tech team closed the ticket so they can't help. I've resubmitted a ticket, left a voicemail with a supervisor and I'm getting no resolution, response or calls back. I need this # unblocked so incarcerated indigent humans can contact my organization If they need further information they should be reaching out. Not closing tickets without resolution and requiring 30 more days to resolve."
12/11/2024,Product Issues,UnansweredMore info,"Comes now the petitioner, disabled veteran, prisoner pursuant to fair trade practices, and fair play. Where Securus/ ****/ or Sec. ***** of Corrections(reffered henceforth as tablet provider) has failed to timely replace or refund all monies spent on the tablet and/or media content, due to the tablet providers tablet has been broken since June 2023. As our contract eludes to."
12/06/2024,Service or Repair Issues,UnansweredMore info,"I paid for Music and videogram content while incarcerated in the Arizona Department of Corrections . The agreement (contract) stated that any purchases I made under either of these categories would be available to me upon my release. I have called each month since March 2024 and have been forwarded to supervisors who can provide no solution. As of today, i was redirected to a website which contained only forum (FAQ) posts, after being told I could speak to someone there. This was not true. I am being given the run around, and this company is refusing to provide me the items I paid for, and items I was told I could receive upon my release."
12/03/2024,Product Issues,UnansweredMore info,"I am writing to express my deep concern regarding the persistent issues my husband is facing with his Securus tablet at the ******************** in **********, *****. Since January 2024, he has been experiencing difficulties with his device, particularly with the usage of prepaid stamps for communication with his pen pals.Despite having around 70 prepaid reply stamps, my husband is unable to use them effectively due to a recurring issue where Securus charges him double every time he attempts to use a prepaid stamp. This unfair practice not only results in financial losses for my husband but also creates unnecessary hurdles in his communication efforts. Additionally, when there are no stamps in his account, he is wrongly notified of insufficient funds, further complicating the situation.Over the course of this year, my husband has diligently reported these issues by submitting numerous tickets, totaling 12 ticket numbers since January 2024. Regrettably, despite his persistent efforts to seek resolution, no concrete steps have been taken to address the problem. He has even reached out to the representative on the unit, requesting to demonstrate the issue in person, but these attempts have been met with silence and inaction.The frequent dropped calls, coupled with the discrepancy in stamp usage and charging, not only impede my husband's ability to stay connected with loved ones but also highlight a serious breach of trust by Securus. Despite assurances of problem resolution, the issues persist, indicating a lack of accountability on the part of the company.I implore you to investigate this matter urgently and ensure that my husband's concerns are addressed promptly. It is unacceptable for him to be ignored and subjected to financial losses due to the inefficiency and negligence of Securus. As his spouse, I stand firmly against this mistreatment and urge for a swift and satisfactory resolution to be implemented without further delay."
12/03/2024,Product Issues,UnansweredMore info,"My husband is incarcerated in ********** ***** at the ** ***** ******* January 2024 my husband started having trouble with his Securus tablet.His pen pals send him reply/prepaid stamps to get a reply back. He has not been able to use his prepaid stamps unless he has stamps in his account and then ********************** takes both, double charging him everytime he tries to use a prepaid stamp. If he doesn't have stamps in his account it tells him he has insufficient funds which he does not. He has around 70 prepaid reply stamps. He has been reporting it (putting tickets in) all year and nothing has been fixed. I have 12 ticket numbers that he's put in since January 2024. He has written to the representative on the unit to be called down to show her the issue but nothing. I'm tired of being ignored and getting ripped off by these people.The dropped calls are bad enough but Securus has stolen from him and say they fixed the problem but in fact have not. Continuous dropped calls and Securus takes my 6 cents even though the call cut off after a second of getting connected. Added up, that's alot of money over time. They shouldn't be allowed to get away with this.I have contacted a supervisor over and over with no resolve. I have contacted the legal department at Securus in ********** Texas three times to try to resolve this, no response.The week of Thanksgiving 2024 he purchased a movie on the tablet to which the tablet never let him watch it. He was told it was fixed and purchased another movie to which the tablet never let him watch it. That's $10 he is out and never received what he purchased."
12/03/2024,Product Issues,UnansweredMore info,"I have contacted Securus Technologies multiple times over the past two weeks regarding $450 in deposits I made between 11/14/24 and 11/25/24 into a Securus Debit account (ID#******* for my husband, who is incarcerated. Unfortunately, this account is inactive, and the funds have not been credited to my husband.Initially, these transactions appeared in my account but disappeared after an agent suggested combining my old **** account with the new ********************** account. Since then, neither my husband nor I have access to these funds.Additionally, I later learned that my husbands actual ID# is ID#*******, which doesnt appear in the Securus system.I requested a full refund of $450 to my debit card two weeks ago but have received no response. The funds are still missing, and my husband has not received the deposits.For reference, here are the case numbers:Case #******** Case #******** Please assist me in resolving this issue and processing the refund as soon as possible.Thank you,********* ******"
12/02/2024,Product Issues,UnansweredMore info,"I am incarcerated at the *********************************** center in ***********************. My DOC number is 4***8, and I was recently issued another Securus tablet after the tablet I had had for over 2 years, suddenly began having wifi issues, and other technical problems with the phone app. I told my case worker about other complaints with the tablets, and possible wifi issues. However, the caseworker took it upon himself to disable my old tablet, and supply those who were having technical problems, with new tablets. After I received my new tablet, I discovered that only 800 songs from my playlist were uploaded to the new tablet, and 3000 songs that I had purchased for $2.40 each have disappeared into thin air, along with precious family photographs. My sister, *******, notified Securus technologies over the phone. However, she was told that Securus Customer ********************** had absolutely nothing to do with the institution and what went on there with the Securus tablets? Several other inmates have experienced the same problems that I have with the tablets, and issues with Securus video Connect. The value of the missing songs that I purchased were well over $7000. My family will be filing a lawsuit against Securus. Technologies whom are still refusing to help resolve this matter in collaboration with the ******************* of *****************************. Jerome * Berry-***** Ms. ******* *****"
11/26/2024,Product Issues,UnansweredMore info,"I owed a $10.83 balance with this company and paid off through *************, like I was informed to do in order to speak to my loved one. Was told once paid off I had ***** hours before it cleared to speak to my family member incarcerated. Therefore, the ***** hours passed and still wasnt able to communicate with my family member. Called several times and spoke to customer ********************** representatives to speak to a superviser because my loved one has money on their account I funded on their account to call out but still he wasnt able to use. The first representative told me all kind of different things but when I spoke to another representative was told my refund should work by now and calls should be available. Each time my love one calls, it still says not enough to talk and if I want to proceed to talk need to add money to my end. This is inconvenient to family members and someone needs to step in and investigate on what that company has been doing to everyone by scamming peoples money. All I want to do is talk to my family member and make sure hes doing ok due to his health issues. This company is fraudulent and not sure why they are still in business over these several years and why is this even allowed?"
11/25/2024,Service or Repair Issues,UnansweredMore info,"I have had several issues with Securus for months. **** will be rude, over talk me, a manager hung up on me. My acct was hacked and told this company several times and I had to pay a fee. I cannot delete the acct or add money for my son to call.I called over 10 times and no resolution. My acct still locked. Tried to delete acct and make a new one and unable to. The last time I requested a manager to call, they never called me. I spoke with Aja and she was rude and over talked me. So I asked for another *** but she said no one else was working. My issue is still yet to be resolved and I cannot take care of my son. I was told from then that my son had to use inside resources to get money and I have no idea what that means."
11/23/2024,Customer Service Issues,UnansweredMore info,"When you receive a phone call through securus, before youre connected to your real call from someone incarcerated theres a robot voice that tells you important information. But one of the things she says is presenting suicide is important which is a very poorly worded sentence. It sounds like theyre trying to say its important to commit to commit or contemplate suicide."
11/22/2024,Service or Repair Issues,UnansweredMore info,"My complaint is directed to ****/ Securus Technolgies for issuing defective/faulty JP^ tablets. to inmates in the Florida Department of Corrections. Then inmates are being held responsible for reported issues, ""Blacklisting"" inmates and charging them full price over a defective and/or used product."
11/18/2024,Customer Service Issues,UnansweredMore info,"I have a Securus account. They now have a wrap agreement requiring for correct names that goes into effect on 19-Nov-2024.  I used my prior married name in their system, ******, have tried to change it for a few years, but the system will not allow for an update. I tried to change it again following the wrap notice. Everytime I go in to hit ""edit,"" I get a red circle over my name with a line through it. Obviously, my credit card company has been letting the charge goes through for stamps, so there shouldn't be a problem. But, I want to abide by the agreement and need Securus to figure out how to change my name to ******. I can demonstrate my prior last name was ****** if needed. Thank you."
11/11/2024,Service or Repair Issues,UnansweredMore info,For several weeks now Securus has been telling me their technical support team is working on uploading Connects. However other people dont seem to be having this same issue and I dont know why they are keeping me from my loved ones. They stopped uploading free connects for my family and I for over a week now and we can not reach out to our loved one. Everytime I ask to speak to a supervisor or a call back nobody calls back. They told me it would be fixed in 48 hours but its been over a week and they have no excuse or reasoning for it. I have no idea whats going on but it shouldnt be happening. The system prompts us to enter debit card information but where does this info go if you are not approving our minutes ?
11/09/2024,Product Issues,UnansweredMore info,"On 9/28/2024 I was told I would receive a refund for making a payment in the amount of $300 to an inmate account. The reason for the refund is because I thought I was making a payment to my wifes trust account where she could purchase commissary however it was not for such it was only to purchase media on a tablet she has access to. This was never disclosed in the first place while making the payment. They agreed to a refund after 30 days, then it was 45 days. Now its oh we are backed up in the back office. Theyll get to it whenever they get to it. Enough is enough."
11/09/2024,Product Issues,UnansweredMore info,"This company is withholding my funds. Im being asked to purchase additional stamps on my account when I already have a balance of 4 stamps. I asked the company to simply transfer the stamps to a different state but they are refusing and will not issue a refund for the unused stamps in the state of ** and **. If the stamps can no longer be used here, why wouldnt I be able to transfer or get a reimbursement. Is the company anticipating or insinuating my family member will be incarcerated again? Theres no option to purchase the stamps as needed as they are sold in bulk. I purchased the lowest option available but was not able to use them all in the state. I do need for another state so why cant these be transferred? Just seems like a scam to force money out of customers and reject any reimbursement for any unused. Seems unethical."
11/08/2024,Customer Service Issues,UnansweredMore info,"I accidentally paid ****** to the wrong account for my son in TDCJ. and immediately paid the correct amount I was trying to send to this account which was ***** ref #  ******************** on October 1, 2024. I immediately called and request a refund on 10/1/2024. I was told they would send a paper check since they could not refund the money to my account in which the money was sent from. They suggested I wait 30 calendar day for the refund, after many calls there is no one that can help because it was sent to the back office. I requested to speak to supervisor and on several occasions none was available. finally, today I was told there was not estimated time for a refund I just had to wait.  Again, I asked to speak to a supervisor with no help. I am a heart patient living on a fixed income and I need my money. Any help you can provide will be greatly appreciated."
11/01/2024,Customer Service Issues,UnansweredMore info,"This company offers no way to speak to a live person to correct any mistakes made utilizing their telephone system. You have a limited time to request a refund and if a mistake is made using the telephone system you have no way of correcting the issue by speaking to a live person. It is a money grab and they are taking advantage of people in a vunerable state. All I want to do I speak to a person to ensure my information for the refund is correct, because according to the telephone system the infromation is incorrect and I have no way to fix it."
10/21/2024,Billing Issues,UnansweredMore info,My spouse is incarcerated at ***************** in *****. For the last month our calls get dropped due a system error and I have called Secures and they say I need to fill out a form online. I have done so and not a single response from them.  You cant speak to anyone about the dropped calls as all they say is I need to fill out their form.  Our calls drop after 1 min and 30 seconds. He has to call me a good 5 times before the whole call will go through. My spouse has filed a complaint with the prison and they advise I need to contact Secures which I do and they  never respond. I am spending all this money to them and they cant fix their phone systems.
10/20/2024,Billing Issues,UnansweredMore info,"On September 25th, 2024, I contacted Securus Technologies with the intent to switch my current plan to a monthly subscription for my phone. I was informed by their customer ********************** representative that the request would need to be handled by their back office team and that it would take approximately 7 to 10 business days to process the change. I was understanding of this timeframe and waited patiently for the transition to be completed.After not receiving any updates or seeing any changes reflected in my account, I called back on October 10th, 2024, to check the status of my request. To my disappointment, the customer ********************** agent informed me that my request had still not been addressed by their back office. I was told that the back office team had not gotten to it yet, despite the fact that the promised 7-10 business day window had ********* this point, I am deeply frustrated with the lack of timely response and follow-up from Securus Technologies. It is unacceptable for a company to provide such an extended timeline for a simple service change, only to further delay it without explanation or communication. This delay is causing unnecessary inconvenience and uncertainty, as I rely on this phone service and expect the plan to be updated as requested.I am seeking a resolution from Securus Technologies to expedite my request for a monthly plan change, ensure this type of delay does not occur in the future, and to provide better customer ********************** and communication regarding such matters. If this issue is not addressed promptly, I will consider escalating this matter further.Thank you for your attention to this complaint, and I look forward to a timely resolution.Sincerely,******** ******"
10/19/2024,Service or Repair Issues,UnansweredMore info,"The phones and emails at **************************************** have NOT worked for the past two weeks. They are delayed by two days or more. The phones cut off after 1 mins. This is our only means of communication with our loved ones, and it's so unacceptable, and we pay so much for this. PLEASE, PLEASE get this addressed."
10/16/2024,Product Issues,UnansweredMore info,My fianc got a new tablet and it was already damaged from the aux. it's almost impossible to get a hold of someone to replace the tablet. He's been trying for two weeks. I pay all this money to not be able to speak with him: this company is supposed to keep families together and all yall have done is just take money away from us.
10/12/2024,Product Issues,UnansweredMore info,I purchased a tablet (JP6S) and it doesn't work.
10/12/2024,Service or Repair Issues,UnansweredMore info,"Paid for a Video Visit and the Inmate could t hear me at all and the video was ver bad for him. On my side I could hear and see him properly.This was the first time my brother and I were going to meet, as I was given for adaptation at birth."
10/04/2024,Product Issues,UnansweredMore info,"From what I have been told, Securus Technologies has a contract with the State of Florida DOC to provide computer tablets to inmates. These tablets are to be used for online educational opportunities, entertainment and communications with family and friends. They are an integral part of inmate daily life. My son is an inmate at the **************************************** in **********, ******* (******* **** *******, R44393). He was issued a tablet which worked for a period of time. It has, however, developed technical issues in the recent past including battery overheating, non-responsive controls and an inability to recharge the unit. The tablet finally failed and is currently unusable. According to the facility, he is on a list to receive a new tablet. He has also been told that there are a large number of other inmates in front of him and the facility hasnt received any new/replacement tablets in over a year. While having a tablet may seem a luxury to those unfamiliar with the situation, this is far from the case. 1.Tablets are used to purchase music and other entertainment media. To date, my son has purchased $1,000 + worth of this media that he can no longer access due to the lack of a tablet. Securus has failed to respond to requests from both my son and me for a refund since he no longer has access to the files he purchased.  **** son has an ongoing subscription from Securus to access daily news and podcasts via his tablet. He is charged for this service monthly. Without a tablet he cannot access these resources or request the subscription be cancelled. Again, several requests to Securus for a refund and termination of the monthly charges have gone unanswered. **********************************Your app limits the number of characters in my description. Please see my attachment ""Securus Complaint"" for the complete text of my communication."
10/02/2024,Product Issues,UnansweredMore info,On 9/25/2024 and 10/1/2024 I put $100 dollars each day into ******* ****** Resident # ****** Inmate Debt Funding. To date the  funds have not appeared available for use in her account. Confirmation # ********************* Confirmation # ********************* I have been unable to contact a live representative from Securus to help resolve the dispute. All calls are automated and abruptly end without transferring to a live help desk.
09/27/2024,Billing Issues,UnansweredMore info,"I have an incarcerated loved one and have to work with Securus Technologies to be able to talk to him on the phone. After creating my account with **********************, I found out I was being automatically charged $10 a week to receive calls, though I only authorized a one time deposit. Upon spending almost an hour on the app and the website without finding anywhere to cancel the autopay, I called the customer **********************. When I reached a representative, she said I had to cancel on the website but said she was not authorized to tell me where because she cannot help with issues related to pay. After spending another hour searching the website, I found the place to cancel in a very obscure spot and it was not at all clear that I in fact was successful."
09/25/2024,Product Issues,UnansweredMore info,Trying to get my refund for ********* response at all . I closed acct request *********** acct #********
09/24/2024,Customer Service Issues,UnansweredMore info,"The following is a list of my grievances against Aventiv H323638353530313238**H and their subsidiaries, primary H3237373538**35373632H LLC and Securus Monitoring 1. The Missouri Department of H3336323638**38333736Hions entered into a contract with Aventiv H323638353530313238**H, signed by the **** Director. We, the inmate population, had no say in this matter nor did we sign any documents entering ourselves into this contract. In fact, as a **** of the state we are not allowed to enter into any contract. 2. Aventir H323638353530313238**H charges us a ""content delivery"" fee for music purchases and a ""contact delivery"" fee plus a ""CM"" charge for movie and to show rentals as ***** as game purchases. These unlawful fees are charged to us for Aventir H323638353530313238**H to move content across a network that they own to a tablet that they also own. 3. Aventir H323638353530313238**H has a monopoly on our mail as all incoming mail besides ""privileged mail"" is received on our issued tablets. This includes photographs and cards. 4. We&#**;re forced to accept the ""Securus service terms and conditions"" in order to receive mail, access the phone from in our cells, access important MDOC literature such as the ""Offender Rulebook,"" all probation and parole information and so forth. 5. The tablets and network are very unreliable due to antiquated and inferior technology. Consequently, I&#**;m denied communication with my family and loved ones. 6. Dispute multiple ""Trouble Tickets,"" Aventir H323638353530313238**H refuses to correct, fix, repair or address the vast majority of the issues that we (the inmate population) bring to their attention. 7. It often takes 4 to 15 days for outgoing mail to be sent out and 4 to 30 days for incoming mail to be received by us. We are not offered a second option for incoming mail. 8. We are not given a refund for arbitrarily censored outgoing mail. 9. Our friends and loved ones are not given refunds for arbitrarily censored incoming mail. 10. Aventr H323638353530313238**H offer/include several application functions that do not function. These functions are part of the contract. 11. We are not allowed to print our e-messages. Without the option to print, we&#**;re without a method for record keeping. 12. Often, drafted e-messages automatically delete without prompt just minutes after being saved. These e-message drafts are not suppose to auto delete for 24 hours after being saved. 14. Movie picture quality is abysmal of best, as you often can&#**;t even make out who&#**;s who or what an object is. 15. At $0.05 per minute, phone calls are grossly over priced. 16. At $0.25 per ***** character e-message, e-messages are grossly overpriced. 17. The ""connect me"" phone app was advertised to us as a way to make phone calls from our calls, although the wifi strength is rarely strong enough to connect a call, let alone have a conversation. 18. Our phone calls are often disconnected due to tablet and/or network errors, resulting in lost money. 19. The majority of the provided applications are faulty and can not be used as advertised. 20. When we submit trouble tickets complaining of wifi issues, we will receive responses such as this one. ""Please remember with wifi y our tablet needs to be close to the wifi range of your dorm. Sometimes outside of this range the wifi is not strong or does not work."" It should be noted that the whole point of the tablet was to allow your phone and e-message services from our cells. 21. It doesn&#**;t matter where you are in the dayrooms the wifi reliability is very poor. Even directly lbeneath the wifi antenna. 22. I have not bought a game yet that doesn&#**;t have major bugs and glitches. These games are advertised as fully functioning and complete games. 23. When H3237373538**35373632H/Aventir H323638353530313238**H does refunds for faulty games and music (and it&#**;s not very often) they pro rate the value of said product(s) and only refund what they believe you&#**;re entitled to. That&#**;s if they refund you your money at all. 24. Aventir H323638353530313238**H also has a monopoly on all music, monies, books, phone services, games, tv shows and money transfers. 25. All pricing is predatory. 26. In summary, Aventir H323638353530313238**H business model and practices are plagued by fraud, false advertising, misrepresentation, constitutional violations, ethics violations and much more. I&#**;m requesting that Aventir H323638353530313238**H license to operate in the State of ******** be revoked. I&#**;m looking for $25,000 in compensatory damages for the emotional distress, mental anguish, hindered ability to communicate with media, legal representatives and loved ones. Additionally, I&#**;m seeking $50,000 in punitive damages for Aventiv H323638353530313238**H reckless indifference to my rights, ill will and desire to injure with malice. This behavior is very evident when you examine Aventir H323638353530313238**H exploitation of the incarcerated who more often than not suffer from some form of mental defect. i.e. addictive personality disorder, excessive compulsive disorder, impulsive disorders, anxiety, depression, PTSD among others. This behavior is reprehensible and egregious and must stop. Furthermore, if Aventir H323638353530313238**H is allowed to continue doing business in the State of ********, I need all of the extra fees that are added to content waived, i.e., ""Content Delivery,"" ""CM"" and other fee that exists or may exist in the future."
09/12/2024,Service or Repair Issues,UnansweredMore info,My fiance is incarcerated at ******** Correctional Institution in ******** *********** they use Securus tablets to be able to contact loved ones using an app provided by Securus Technologies they are able to text message or email 10 times a day and they are supposed to get six 15 minute calls a day. The app is supposed to be on from 8:00 a.m. to 10:00 p.m. with a break from 3:00 to 4:00 p.m. for shift change of the correctional officers. Lately the app does not turn on till around 8:30 9:00 a.m. eastern central time and for the past two to three nights the app has been telling my fiance that he is at his max number of calls when he's only used two to three calls for the day and it doesn't allow him to call out he doesn't get reimbursed for those calls and he doesn't get those calls back it has caused emotional and mental distress on my end as a family member as well as my fiance being incarcerated unable to reach his loved ones. It's not right what they do they're all about keeping incarcerated individuals connected with their loved ones yet they make it so difficult to even get a hold of a person on customer support the issue should be ************************ and is not morally right.
09/07/2024,Product Issues,UnansweredMore info,My son is in jail.  I schedule video calls with him via the web site or the app.  More than half the time the system does not work.  I can't tell if my son is informed about his video call.  Most of the time he does not show up.  I also missed sessions since the system did not work.  Asking for credit is a hassle since you can't get any support on the phone.Why is this company still in charge of the jail system communication?  Can someone please cancel their contract?  I need reimbursement of all the money I spent on them.
09/06/2024,Product Issues,UnansweredMore info,There was a system glitch with my bank that caused 8 of my transactions with Securus to be disputed without my knowledge. I became aware of this when Securus deducted $21.52 from my AdvanceConnect account and $12 from son's debit account then charging him an additional $58 that I had to pay for him to be able to use his tablet. They have also blocked me from using my debit/credit cards to make payments to my account even though this was a computer glitch and not anything I did intentionally. They are trying to force me to use MoneyGram or ************* and they charge $5-$6 in fees to make a payment. They have also blocked my other son from using his credit/debit card on his AdvanceConnect account even though his account had nothing to do with mine. I closed the disputes with my bank so they were never completed and Securus never refunded any of the money to my bank for those disputes. They have essentially charged me twice. I just want the money refunded to our accounts and to be able to use my credit/debit card to make future payments. I refuse to pay $5-6 in fees for every future transaction through a third party for a computer glitch.
09/02/2024,Service or Repair Issues,UnansweredMore info,"Secure technologies is supposed to send me a downloadable device with the music , that I purchased On one of their tablets while in prison on it. I sent a letter with all the information that was required to the address I found on their website. The website didnt work, so I thought that was a viable alternative. That was over a month ago and I havent received anything, not even an email. I called the company back and they changed the website address by putting slashes and a couple of extensions on it, but it went directly back to the original website that went in loops, and never worked. I believe that they dont intend to return purchased music to former inmates, even though they promised to. So with the frustration of a nonworking website and a non-answered mail submission I would like for you to investigate and find out what the problem is . I have contacted them on numerous occasions and only got empty promises.Thank you!"
08/26/2024,Product Issues,UnansweredMore info,"On July 12 I paid $103.50. Again on July 15 I paid another $103.50.  I purchased $53.50. And finally on July 22 I paid $37.36.I found out almost immediately that the County Jail here don't use.this program for inmates.I started calling them wanting my refund and I fill like I'm getting a run around.  This is a lot of money to make an error.  But, this in no way allows them to keep my refund.  This is the first time I've ever had a problem getting a refund online.I'd really appreciate  your help in receiving my refund in a timely fashion! Lol it's already been over a month."
08/20/2024,Customer Service Issues,UnansweredMore info,"From 2020- current.over $10k Stealing from the account: Finances, Identities, and False Documenting my financial transactions and or deleting them all together. Using the account  behind the scenes as if its closed but still open. Blocking me out the account and refusing to make corrections to account that are ************************ and fraudulent.  Threatening and Rude behavior towards me as a consumer and refusing to close accounts or removing wrong information on the account.. Creating fraudulent accounts in my name and numbers and lining them to my finances. Denying me services to keep the theft and fraud going. From regular customer **** clean up to higher management. And higher Ex prisoners and Felons that uses consumers information.  FALSIFYING STATEMANTS THAT DONT REFLECT ACCURATE BILLING AND PAYMENTS OR CALLS. Admitting to allowing other to make calls to other numbers in my account and refuse to take fraudulent number  items out my account so i wont get the charge etc. I am heavly documented on the allegations and have been documenting for years."
08/14/2024,Service or Repair Issues,UnansweredMore info,"Details have been added below. Securus is the only option to contact a loved one in a correctional facility other than **** which takes 4-7 days to be given to inmate. They advertise 24/7 support but the system is constantly down, or we get calls cut off and charged anyway. If an inmate calls and gets a VM because it isn't answered, they can't hear the recording so they are charged for the call anyway which zaps an account quickly. They don't return calls and give incorrect information. Very poor and expensive service"
08/10/2024,Product Issues,UnansweredMore info,I purchased stamps and the Company charged my card twice. I want a refund of my money for the additional charges.
08/09/2024,Product Issues,UnansweredMore info,"Securus Technologies claims to be a company that allows incarcerated people to communicate with their loved ones. They offer video calls, which cost $4.95 per 20-minute call. I have signed up for two video calls, one on 05/16/2024 and one on 08/09/2024. On both of these calls, my friend showed up on time and we were both logged in and waiting for the call to start for 3-4 minutes before it began. When the call started, the quality was so terrible that I could barely make out anything he was saying. The video was blurry and the sound was so choppy that I could only hear every third word he said. I know that I'm not the only person experiencing this because they have a 1.1 star rating on Yelp out of 193 reviews. Every review is complaining about their terrible quality of services and that when you try to reach out to request a refund, they don't respond, and that their customer ********************** is non-existent. They have a monopoly on the communication industry in prisons. There is no other option to speak to loved ones, that is the only service that the prison offers. Please look into this exploitative and fraudulent company. They need to repair their video visit services. It is ridiculous that they're charging so much for these calls, especially if they don't even work as they're supposed to. I want them held accountable; it's not about the $10. Most family members of incarcerated people are facing financial troubles and they can't afford to spend $5 per 20-minute phone call, so it leaves incarcerated people without contact from the outside world and become even more isolated, which has deep and lasting societal effects."
